date,LogTitle,message,exception,machinename,appdomain,assembly-version,basedir,callsite,counter,nlogdir,processid,processname,specialfolder,stacktrace,longdate,event-properties,uppercase,logger,url,action
2022/01/24 10:57:30.714,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36139,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,25,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:30.7146,,ERROR,logfile,,
2022/01/24 10:57:30.937,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36026,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,26,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:30.9376,,ERROR,logfile,,
2022/01/24 10:57:31.148,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36116,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,27,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:31.1489,,ERROR,logfile,,
2022/01/24 10:57:31.356,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36012,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,28,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:31.3567,,ERROR,logfile,,
2022/01/24 10:57:31.558,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36065,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,29,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:31.5584,,ERROR,logfile,,
2022/01/24 10:57:31.764,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35991,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,30,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:31.7648,,ERROR,logfile,,
2022/01/24 10:57:32.001,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36049,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,31,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:32.0018,,ERROR,logfile,,
2022/01/24 10:57:32.169,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35969,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,32,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:32.1695,,ERROR,logfile,,
2022/01/24 10:57:32.386,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36026,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,33,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:32.3866,,ERROR,logfile,,
2022/01/24 10:57:32.597,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35926,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,34,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:32.5970,,ERROR,logfile,,
2022/01/24 10:57:32.800,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36012,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,35,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:32.8006,,ERROR,logfile,,
2022/01/24 10:57:33.008,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35897,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,36,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:33.0087,,ERROR,logfile,,
2022/01/24 10:57:33.223,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35991,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,37,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:33.2232,,ERROR,logfile,,
2022/01/24 10:57:33.444,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35874,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,38,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:33.4449,,ERROR,logfile,,
2022/01/24 10:57:33.672,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/35969,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,39,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:33.6721,,ERROR,logfile,,
